epoch,12,30,100x
1,0.3017,0.313,0.1824
2,0.486,0.5147,0.3057
3,0.5666,0.6088,0.3891
4,0.6179,0.6712,0.431
5,0.6711,0.7165,0.4707
6,0.7151,0.7518,0.52
7,0.7477,0.776,0.5675
8,0.7736,0.7978,0.6089
9,0.7916,0.8134,0.6454
10,0.8178,0.8231,0.6733
11,0.819,0.835,0.6999
12,0.8273,0.8431,0.7229
13,,0.8536,0.7426
14,,0.8576,0.7569
15,,0.8637,0.7725
16,,0.8684,0.7847
17,,0.873,0.7961
18,,0.8766,0.8042
19,,0.8793,0.8122
20,,0.8826,0.8181
21,,0.8849,0.8241
22,,0.8863,0.8333
23,,0.8892,0.8387
24,,0.8907,0.8433
25,,0.8929,0.8507
26,,0.8942,0.8538
27,,0.8964,0.8559
28,,0.8978,0.8596
29,,0.899,0.8623
30,,0.9004,0.8646
31,,,0.8678
32,,,0.8705
33,,,0.8723
34,,,0.8757
35,,,0.8763
36,,,0.8774
37,,,0.8787
38,,,0.881
39,,,0.8825
40,,,0.884
41,,,0.8851
42,,,0.8865
43,,,0.8873
44,,,0.8885
45,,,0.8897
46,,,0.8907
47,,,0.8915
48,,,0.8931
49,,,0.8929
50,,,0.8942
51,,,0.8951
52,,,0.8962
53,,,0.8967
54,,,0.8977
55,,,0.8979
56,,,0.8999
57,,,0.9013
58,,,0.9022
59,,,0.9024
60,,,0.9034
61,,,0.9036
62,,,0.9052
63,,,0.9054
64,,,0.906
65,,,0.906
66,,,0.9069
67,,,0.9071
68,,,0.9073
69,,,0.9079
70,,,0.9083
71,,,0.9084
72,,,0.909
73,,,0.9093
74,,,0.9099
75,,,0.9112
76,,,0.9108
77,,,0.9108
78,,,0.912
79,,,0.9121
80,,,0.9131
81,,,0.9136
82,,,0.9138
83,,,0.9145
84,,,0.9145
85,,,0.9143
86,,,0.9153
87,,,0.916
88,,,0.9162
89,,,0.9161
90,,,0.9161
91,,,0.9165
92,,,0.9166
93,,,0.917
94,,,0.9172
95,,,0.9179
96,,,0.9181
97,,,0.9179
98,,,0.9184
99,,,0.919
100,,,0.9193
